model element type,correctly predicted alignments,predicted alignments,correctly predicted misalignments,predicted misalignments,actual alignments,actual misalignments,precision alignment,precision misalignment,overall precision,recall alignment,recall misalignment,overall recall
attribute,5,5,0,0,5,0,1.0,1,1.0,1.0,1,1.0
association,5,5,0,0,6,0,1.0,1,1.0,0.8333333333333334,1,0.8333333333333334
aggregation,0,0,0,0,0,0,1.0,1,1.0,1.0,1,1.0
composition,0,0,0,0,0,0,1.0,1,1.0,1.0,1,1.0
inheritance,3,3,0,0,3,0,1.0,1,1.0,1.0,1,1.0
enum,3,3,0,0,3,0,1.0,1,1.0,1.0,1,1.0
all,16,16,0,0,17,0,1.0,1,1.0,0.9411764705882352,1,0.9411764705882352
