model element type,correctly predicted alignments,predicted alignments,correctly predicted misalignments,predicted misalignments,actual alignments,actual misalignments,precision alignment,precision misalignment,overall precision,recall alignment,recall misalignment,overall recall
attribute,8,8,0,0,8,0,1.0,1,1.0,1.0,1,1.0
association,12,12,0,0,20,0,1.0,1,1.0,0.6,1,0.6
aggregation,0,0,0,0,0,0,1.0,1,1.0,1.0,1,1.0
composition,0,0,0,0,0,0,1.0,1,1.0,1.0,1,1.0
inheritance,3,3,0,0,3,0,1.0,1,1.0,1.0,1,1.0
enum,1,1,0,0,1,0,1.0,1,1.0,1.0,1,1.0
all,24,24,0,0,32,0,1.0,1,1.0,0.75,1,0.75
