model element type,correctly predicted alignments,predicted alignments,correctly predicted misalignments,predicted misalignments,actual alignments,actual misalignments,precision alignment,precision misalignment,overall precision,recall alignment,recall misalignment,overall recall
attribute,4,4,0,0,5,0,1.0,1,1.0,0.8,1,0.8
association,5,5,0,0,6,0,1.0,1,1.0,0.8333333333333334,1,0.8333333333333334
aggregation,0,0,0,0,0,0,1.0,1,1.0,1.0,1,1.0
composition,1,1,0,0,4,0,1.0,1,1.0,0.25,1,0.25
inheritance,1,1,0,0,1,0,1.0,1,1.0,1.0,1,1.0
enum,0,0,0,0,0,0,1.0,1,1.0,1.0,1,1.0
all,11,11,0,0,16,0,1.0,1,1.0,0.6875,1,0.6875
