model element type,correctly predicted alignments,predicted alignments,correctly predicted misalignments,predicted misalignments,actual alignments,actual misalignments,precision alignment,precision misalignment,overall precision,recall alignment,recall misalignment,overall recall
attribute,3,3,0,0,4,0,1.0,1,1.0,0.75,1,0.75
association,11,11,0,0,11,0,1.0,1,1.0,1.0,1,1.0
aggregation,0,0,0,0,0,0,1.0,1,1.0,1.0,1,1.0
composition,2,2,0,0,3,0,1.0,1,1.0,0.6666666666666666,1,0.6666666666666666
inheritance,0,0,0,0,0,0,1.0,1,1.0,1.0,1,1.0
enum,2,2,0,0,5,0,1.0,1,1.0,0.4,1,0.4
all,18,18,0,0,23,0,1.0,1,1.0,0.782608695652174,1,0.782608695652174
