model element type,correctly predicted alignments,predicted alignments,correctly predicted misalignments,predicted misalignments,actual alignments,actual misalignments,precision alignment,precision misalignment,overall precision,recall alignment,recall misalignment,overall recall
attribute,3,3,0,0,3,0,1.0,1,1.0,1.0,1,1.0
association,3,3,0,0,3,0,1.0,1,1.0,1.0,1,1.0
aggregation,0,0,0,0,0,0,1.0,1,1.0,1.0,1,1.0
composition,0,0,0,0,0,0,1.0,1,1.0,1.0,1,1.0
inheritance,1,1,0,0,2,0,1.0,1,1.0,0.5,1,0.5
enum,4,4,0,0,6,0,1.0,1,1.0,0.6666666666666666,1,0.6666666666666666
all,11,11,0,0,14,0,1.0,1,1.0,0.7857142857142857,1,0.7857142857142857
